place,Top5,무료,혜택,친환경,추천,식재료,제주산,에너지,환경,비건,야경
쉬리니케이크,"['케이크', '친절', '크림', '사장', '가격']",0,0,0,5,0,0,0,0,0,0
소보리당로222,"['인절미', '분위기', '티라미수', '친절', '소보']",0,0,0,0,0,0,0,0,0,0
픽스커피 본점,"['커피', '친절', '직원', '마스크', '착용']",0,0,0,1,0,0,0,0,0,0
카페곁에,"['커피', '분위기', '카페', '케이크', '손님']",0,0,0,2,0,0,0,0,0,0
어니스트밀크 본점,"['아이스크림', '우유', '송아지', '체험', '일출봉']",3,0,0,0,0,0,0,0,0,0
카페월령,"['딱새', '친절', '커피', '동굴', '카페']",0,0,0,1,0,0,0,0,0,0
비자블라썸,"['스프', '감자', '분위기', '친절', '사장']",0,0,0,3,0,0,0,0,0,0
블루마운틴 4255,"['커피', '야외', '제주도', '좌석', '도착']",0,0,0,0,0,0,0,0,0,0
토끼문,"['커피', '케이크', '카페', '바다', '가격']",0,0,0,1,0,0,0,0,0,0
봉꾸라주,"['디저트', '카페', '사장', '친절', '음료']",0,0,0,0,0,0,0,0,0,0
고요새,"['디저트', '공간', '커피', '카페', '분위기']",1,0,0,4,0,0,0,0,0,0
스타벅스 제주삼화DT점,"['주차', '친절', '스타벅스', '방문', '제주']",0,0,0,0,0,0,0,0,0,0
에이바우트커피뷰 하귀포구점,"['커피', '직원', '성비', '최고', '바다']",0,0,0,1,0,0,0,0,0,0
매기의추억,"['커피', '카페', '분위기', '사장', '당근']",0,0,0,1,0,0,0,0,0,0
카페인사리,"['커피', '사장', '맛집', '친절', '가격']",0,0,0,0,0,0,0,0,0,0
카페동경앤책방,"['샌드위치', '커피', '카페', '분위기', '동네']",0,0,0,1,0,0,0,0,0,0
김녕에사는김영훈,"['커피', '카페', '디저트', '당근', '케이크']",0,0,0,1,0,0,0,0,0,0
네이처캔버스,"['카페', '커피', '사장', '분위기', '사진']",0,0,0,1,0,0,0,0,0,0
큐티파이카페,"['친절', '가격', '바다', '카페', '분위기']",0,0,0,1,0,0,0,0,0,0
고미미,"['마카롱', '제주', '돌하르방', '선물', '커피']",0,0,0,3,0,0,0,0,0,0
여섯번의보름,"['카페', '친절', '분위기', '커피', '토스트']",0,0,0,0,0,0,0,0,0,0
쉬어갓,"['카이', '음료', '정원', '야외', '디저트']",0,0,0,5,0,0,0,0,0,0
노론존,"['커피', '친절', '분위기', '사장', '마들렌']",0,0,0,0,0,0,0,0,0,0
카페어떤오후,"['스콘', '카페', '커피', '분위기', '강아지']",0,0,0,0,0,0,0,0,0,0
카페폴린,"['커피', '디저트', '인사', '경치', '맛집']",0,0,0,0,0,0,0,0,0,0
리듬앤브루스,"['커피', '카페', '친절', '공간', '분위기']",0,0,0,3,0,0,0,0,0,0
소라의성,"['북카페', '카페', '소리', '음료', '파도']",3,0,0,0,0,0,0,0,0,0
헤이브라더,"['커피', '생각', '내부', '형제섬', '사장']",0,0,0,0,0,0,0,0,0,0
스타벅스 제주서해안로DT점,"['친절', '직원', '매장', '비행기', '사람']",0,0,0,5,0,0,0,0,0,0
카페아오오,"['카페', '커피', '음료', '건물', '바다']",0,0,0,4,0,0,0,0,0,0
리틀포레스트,"['카페', '친절', '사장', '소품', '음료']",0,0,0,0,0,0,0,0,0,0
카페코지,"['카페', '커피', '사장', '바다', '직원']",0,0,0,0,0,0,0,0,0,0
트라이브,"['수플레', '친절', '카페', '커피', '사장']",0,0,0,3,0,0,0,0,0,0
롱리브,"['커피', '친절', '사장', '에그', '타르트']",0,0,0,2,0,0,0,0,0,0
카페미와,"['케이크', '케익', '커피', '분위기', '사장']",0,0,0,1,0,0,0,0,0,0
다린,"['팥빙수', '쌍화탕', '쌍화차', '대추차', '친절']",0,0,0,1,0,0,0,0,0,0
도바나,"['말차', '쿠키', '오름', '친절', '커피']",0,0,1,0,0,0,0,0,0,0
도을,"['카페', '커피', '브라우니', '분위기', '케이크']",0,0,0,0,0,0,0,0,0,0
60빈스,"['커피', '친절', '올레길', '경치', '정원']",0,0,0,2,0,0,0,0,0,0
꼬스뗀뇨,"['공간', '커피', '카페', '느낌', '만족']",0,0,0,1,0,0,0,0,0,0
오라디오라,"['인테리어', '브런치', '커피', '음료', '카페']",0,0,0,4,0,0,0,0,0,0
트로피컬하이드어웨이 브런치카페,"['음식', '자리', '방문', '메뉴', '음료']",0,0,0,1,0,0,0,0,0,0
스테이솔티,"['커피', '카페', '바다', '티라미수', '사람']",0,0,0,1,0,0,0,0,0,0
아라파파 북촌점,"['마감', '바다', '음료', '친절', '맛집']",0,0,0,2,0,0,0,0,0,0
차귀놀,"['사장', '친절', '카페', '커피', '분위기']",0,0,0,0,0,0,0,0,0,0
스타벅스 서귀포올레점,"['친절', '음료', '알바', '제주', '사이즈']",0,0,0,0,0,0,0,0,0,0
코데인커피로스터스,"['커피', '분위기', '최고', '친절', '추천']",0,0,0,8,0,0,0,0,0,0
카페빠네띠에,"['레몬', '파운드', '버터', '호프', '직원']",0,0,0,1,0,0,0,0,0,0
단정한까페,"['커피', '분위기', '맛집', '조곤', '얘기']",0,0,0,0,0,0,0,0,0,0
우연히그곳,"['분위기', '친절', '커피', '사장', '디저트']",0,0,0,2,0,0,0,0,0,0
제주901,"['건강', '요가', '브런치', '한라산', '카페']",0,0,0,1,0,0,0,0,0,0
비양놀,"['커피', '스콘', '카페', '생각', '노을']",0,0,0,2,0,0,0,0,0,0
엘리사,"['사장', '최고', '친절', '쿠키', '만화']",0,0,0,0,0,0,0,0,0,0
카페루핀,"['사장', '친절', '커피', '카페', '고양이']",0,0,2,3,0,0,0,0,0,0
스타벅스 제주에듀시티점,"['직원', '친절', '커피', '사람', '오후']",0,0,0,0,0,0,0,1,0,0
간이옥돔역 (휴업중),"['커피', '임시', '휴업', '바람', '카페']",0,0,0,0,0,0,0,0,0,0
디뷰,"['친절', '브런치', '분위기', '메뉴', '피자']",0,0,0,0,0,0,0,0,0,0
수카사,"['브런치', '친절', '분위기', '베네딕트', '메뉴']",0,0,0,3,0,0,0,1,0,0
꽃향유,"['소품', '카페', '구경', '방문', '제주']",0,0,0,2,0,0,0,0,0,0
미미슈,"['옥수수', '임자', '바닐라', '가격', '크림']",0,0,0,0,0,0,0,0,0,0
하늘꽃카페,"['커피', '생각', '카페', '음료', '가격']",0,0,0,1,0,0,0,1,0,0
유스커피,"['커피', '라벤더', '원두', '카페', '제가']",0,0,0,2,0,0,0,0,0,0
거인의정원,"['분위기', '정원', '사람', '주문', '카페']",0,0,0,0,0,0,0,0,0,0
제이아일랜드카페,"['커피', '카페', '사장', '키즈', '동반']",0,0,0,2,0,0,0,0,0,0
이공팔오,"['피자', '분위기', '카페', '커피', '추천']",0,0,0,4,0,0,0,0,0,0
올디벗구디,"['커피', '쿠키', '분위기', '친절', '토마토']",0,0,0,2,0,0,0,0,0,0
카페갤러리,"['친절', '커피', '카페', '사진', '내부']",0,0,0,0,0,0,0,0,0,0
