place,Top5,무료,혜택,친환경,추천,식재료,제주산,에너지,환경,비건
오현돼지불백,"['반찬', '양념', '맛집', '게장', '인분']",0,0,0,3,0,0,0,0,0
대춘해장국 본점,"['장탕', '해장국', '국물', '맛집', '내장']",0,0,0,3,0,0,0,0,0
공항흑돼지 시청그때그집,"['친절', '사장', '고기', '김치찌개', '돼지']",1,0,0,3,0,0,1,0,0
미스칠,"['전복', '갈치', '조림', '친절', '반찬']",0,0,0,5,0,0,0,0,0
용두암해촌,"['갈치', '조림', '구이', '전복', '고등어']",0,0,0,23,0,0,0,0,0
제주국담,"['고기', '국밥', '국물', '국수', '들기름']",0,0,0,8,0,0,0,0,0
순천미향,"['친절', '사장', '문어', '맛집', '음식']",0,0,0,11,0,0,0,0,0
88버거,"['버거', '수제', '제주도', '맛집', '패티']",1,0,0,7,0,0,0,0,0
돈블랙 서귀포본점,"['고기', '친절', '고사리', '돼지', '직원']",0,0,0,9,0,0,0,0,0
바다를본돼지 제주노형점,"['고기', '돼지', '본점', '전복', '가격']",0,0,0,0,0,0,0,0,0
대기정,"['갈치', '조림', '구이', '제주도', '가족']",0,0,0,11,0,0,0,0,0
산지물 신제주점,"['조림', '친절', '갈치', '밑반찬', '고등어']",0,0,0,5,0,0,0,0,0
코코분식,"['칼국수', '가격', '육개장', '제주도', '음식']",0,0,0,3,0,0,0,0,0
코코마마 성산점,"['음식', '튀김', '분위기', '친절', '세트']",1,0,0,11,0,0,0,0,0
가람돌솥밥,"['솥밥', '전복', '재료', '갈치', '제주도']",1,0,0,13,0,0,0,0,0
성산일출봉 청운식당,"['갈치', '조림', '성산', '일출봉', '전복']",0,0,0,62,0,0,0,2,0
제주미담,"['순대', '국수', '고기국수', '고기', '주문']",0,0,0,7,0,0,0,0,0
큰돈가 본점,"['고기', '친절', '돼지', '직원', '사장']",0,0,0,8,0,0,0,0,0
재연식당,"['갈치', '고등어', '구이', '정식', '반찬']",0,0,0,6,0,0,0,0,0
문치비,"['고기', '친절', '돼지', '목살', '사장']",0,0,0,6,0,0,0,0,0
나원회포차,"['고등어', '모듬', '친절', '매운탕', '가격']",0,0,0,6,0,0,0,0,0
오가네전복설렁탕 서귀포본점,"['전복', '설렁탕', '냉면', '전복죽', '젓갈']",0,0,0,23,0,0,0,0,0
시흥해녀의집,"['전복죽', '조개', '친절', '문어', '소라']",0,0,0,9,0,0,0,0,0
도갈비,"['고기', '친절', '직원', '사장', '목살']",0,0,0,5,0,0,0,0,0
포도원흑돼지,"['돼지', '고기', '제주도', '맛집', '최고']",2,0,0,5,0,0,0,0,0
낭쿰낭쿰,[''],0,0,0,0,0,0,0,0,0
홍성방,"['짬뽕', '탕수육', '친절', '해물', '새우']",0,0,0,7,0,0,0,0,0
낭뜰에쉼팡,"['가격', '반찬', '맛집', '비빔밥', '음식']",0,0,0,1,0,0,0,0,0
돈사돈 별관,"['고기', '돼지', '친절', '제주도', '사돈']",0,0,0,3,0,0,0,1,0
잇칸시타,"['가격', '음식', '메뉴', '제주도', '튀김']",0,0,0,5,0,0,0,0,0
형제도식당 본점,"['갈치', '친절', '구이', '제주도', '조림']",0,0,0,7,0,0,1,0,0
논짓물,"['갈치', '조림', '기분', '식당', '전복']",0,0,0,2,0,0,0,0,0
정직한돈 협재직영점,"['고기', '친절', '돼지', '껍데기', '제주도']",0,0,0,21,0,0,0,0,0
남양수산,"['지리', '친절', '고등어', '참돔', '최고']",0,0,0,2,0,0,0,0,0
칠돈가 서광직영점,"['고기', '친절', '돼지', '직원', '사장']",0,0,0,5,0,0,0,0,0
램앤블랙 (구.램하우스),"['양고기', '친절', '고기', '갈비', '분위기']",0,0,0,44,0,0,0,1,0
서서방숯불닭갈비,"['닭갈비', '고기', '맛집', '친절', '숯불']",0,0,0,4,0,0,0,0,0
태하횟집,"['친절', '최고', '방문', '음식', '직원']",0,0,0,10,0,0,0,0,0
노조미,"['우동', '맛집', '친절', '튀김', '사장']",0,0,0,4,0,0,0,0,0
제주예찬,"['갈치', '조림', '음식', '구이', '반찬']",0,0,0,3,0,0,0,0,0
표선우동가게,"['우동', '유부초밥', '튀김', '카레', '고기']",0,0,0,1,0,0,0,0,0
선흘곶,"['반찬', '가격', '정식', '식당', '방문']",1,0,0,3,0,0,0,2,0
돌집식당,"['게장', '간장', '도둑', '고기', '갈치']",1,0,0,6,0,0,0,0,0
제주돗,"['고기', '친절', '김치찌개', '주문', '제주도']",0,0,0,6,0,0,0,0,0
민경이네어등포해녀촌,"['우럭', '튀김', '양념', '제주도', '음식']",0,0,0,2,0,0,0,0,0
탐라우돈정육식당,"['고기', '돼지', '제주도', '가격', '친절']",0,0,0,46,0,0,0,0,0
중문흑돼지천국,"['고기', '친절', '사장', '무한', '돼지']",1,0,0,11,0,0,0,0,0
솔동산고기국수,"['고기국수', '고기', '비빔국수', '국수', '국물']",0,0,0,10,0,0,0,0,0
김지순의낭푼밥상,"['음식', '제주', '반찬', '정식', '친절']",0,0,0,1,0,0,0,0,0
금박돈,"['고기', '사장', '목살', '친절', '돼지']",0,0,0,12,0,0,0,0,0
뚱보아저씨,"['갈치', '구이', '조림', '고등어', '성비']",0,0,0,12,0,0,0,0,0
도두반점 제주사수본점,"['짬뽕', '짜장면', '탕수육', '볶음밥', '고기']",0,0,0,3,0,0,0,0,0
형돈,"['고기', '돼지', '목살', '사장', '친절']",0,0,0,4,0,0,0,0,0
연미정,"['전복', '고등어', '구이', '반찬', '솥밥']",0,0,0,8,0,0,0,0,0
제주김만복 성산점,"['김밥', '제주', '전복', '김만복', '제주도']",0,0,0,5,0,0,0,0,0
덕승식당,"['갈치', '조림', '친절', '사장', '추천']",0,0,0,8,0,0,0,0,0
백리향,"['구이', '정식', '반찬', '갈치', '성비']",0,0,0,5,0,0,0,0,0
한라전복(본점),"['전복', '솥밥', '뚝배기', '가격', '전복죽']",0,0,0,5,0,0,0,0,0
제갈양,"['갈치', '조림', '구이', '가시', '친절']",0,0,0,29,0,0,1,0,0
연북로해물탕,"['해물탕', '국물', '전복', '해물', '제주도']",0,0,0,7,0,0,0,0,0
짱구분식,"['떡볶이', '튀김', '국물', '김밥', '소스']",0,0,0,2,0,0,0,0,0
만선식당,"['고등어', '조림', '친절', '구이', '미영']",3,0,0,3,0,0,0,0,0
인디언키친,"['커리', '음식', '치킨', '친절', '인도']",0,0,0,5,0,0,0,0,0
산방산초가집,"['전복', '친절', '구이', '사장', '고등어']",0,0,0,3,0,0,0,2,0
문개항아리 애월점,"['해물', '라면', '친절', '국물', '해산물']",0,0,0,33,0,0,0,0,0
숙성도 중문점,"['고기', '직원', '친절', '목살', '대기']",1,0,0,12,0,0,1,2,0
해심가든,"['갈비', '고기', '친절', '방문', '직원']",0,0,0,5,0,0,0,0,0
모이세해장국 본점,"['해장국', '선지', '식사', '모이세', '방문']",0,0,0,1,0,0,0,0,0
곤밥2,"['성비', '반찬', '정식', '옥돔', '생선']",0,0,0,14,0,0,0,0,0
임금님밥상,"['생선', '구이', '오징어', '볶음', '반찬']",0,0,0,1,0,0,0,0,0
춘미향식당,"['미역국', '정식', '고기', '조림', '갈치']",0,0,0,10,0,0,0,0,0
제주고집,"['고기', '친절', '돼지', '제주도', '직원']",0,0,0,2,0,0,0,0,0
제주올래국수,"['고기국수', '고기', '국물', '국수', '김치']",0,0,0,4,0,0,0,0,0
스시도모다찌 제주점,"['초밥', '가격', '제주', '성비', '대기']",0,0,0,2,0,0,0,0,0
옥돔식당,"['칼국수', '국물', '음식', '김치', '보마']",0,0,0,1,0,0,0,0,0
돈향기,"['고기', '돼지', '냉면', '친절', '후식']",3,0,0,2,0,0,0,0,0
제주곰집,"['고기', '돼지', '친절', '방문', '직원']",0,0,0,7,0,0,0,0,0
칠돈가 표선직영점,"['고기', '직원', '친절', '돼지', '김치찌개']",0,0,0,1,0,0,0,0,0
순풍해장국 함덕본점,"['해장국', '친절', '제주', '직원', '추천']",0,0,0,5,0,0,0,0,0
옹포바다횟집,"['친절', '횟집', '사람', '직원', '예약']",0,0,0,3,0,0,0,0,0
범일분식,"['순대', '들깨', '대국', '국물', '국밥']",0,0,0,7,0,0,0,0,0
제주곱,"['대창', '곱창', '국수', '파김치', '서비스']",0,0,0,0,0,0,0,0,0
커큐민흑돼지,"['고기', '친절', '돼지', '가격', '사장']",0,0,0,2,0,0,0,0,0
글라글라하와이,"['튀김', '달고기', '음식', '해물', '추천']",1,0,0,13,0,0,0,0,0
짬뽕에취한날,"['갈비', '짬뽕', '국물', '탕수육', '친절']",1,0,0,0,0,0,0,0,0
이스트포레스트,"['파스타', '전복', '문어', '크림', '분위기']",0,0,0,5,0,0,0,0,0
더스푼,"['가격', '음식', '서비스', '분위기', '파스타']",0,0,0,1,0,0,0,0,0
김녕오라이,"['딱새', '포장', '사장', '서비스', '방문']",0,0,0,7,0,0,0,0,0
흑돼지패밀리,"['고기', '친절', '사장', '고사리', '서비스']",0,0,0,2,0,0,0,1,0
센트로,"['파스타', '예약', '후식', '오일', '식전']",0,0,0,6,0,0,0,0,0
제주해물밥,"['음식', '미역국', '친절', '해물', '식사']",0,0,0,0,0,0,0,0,0
성산 갈치조림 순덕이네,"['문어', '볶음', '음식', '갈치', '반찬']",0,0,0,2,0,0,0,0,0
섭지코지해녀밥상,"['해산물', '가격', '미역국', '해녀', '예약']",0,0,0,0,0,0,0,0,0
강식당,"['고기국수', '함박', '고기', '스테이크', '국수']",0,0,0,6,0,0,0,0,0
뚱딴지,"['돼지', '오복', '고기', '전복', '친절']",0,0,0,7,0,0,0,0,0
알동네집,"['고기', '친절', '솥밥', '김치찌개', '자투리']",0,0,0,0,0,0,0,0,0
중문색달통갈치,"['갈치', '조림', '구이', '친절', '맛집']",0,0,0,11,0,0,0,0,0
윤옥,"['라멘', '친절', '육수', '국물', '추가']",4,0,0,3,0,0,0,0,0
돈고팡 본점,"['고기', '돼지', '친절', '직원', '제주']",0,0,0,3,0,0,0,0,0
돈카츠서황,"['친절', '생선', '우동', '샐러드', '사장']",0,0,0,6,0,0,0,0,0
삼성혈해물탕 1호점,"['해물', '음식', '해물탕', '국물', '최고']",0,0,0,0,0,0,0,0,0
한라전복 성산본점,"['전복', '솥밥', '뚝배기', '반찬', '밑반찬']",0,0,0,5,0,0,0,0,0
화성식당,"['고기', '국물', '친절', '스프', '가격']",0,0,0,1,0,0,0,0,0
해월정 서귀포점,"['칼국수', '말죽', '친절', '국물', '세트']",0,0,0,26,0,0,0,0,0
하하호호 우도본점,"['버거', '땅콩', '직원', '마늘', '우도']",0,0,0,9,0,0,0,0,0
어조횟집,"['딱새', '포장', '고등어', '우회', '매운탕']",0,0,0,0,0,0,0,0,0
올레마당,"['구이', '고등어', '생선', '친절', '가격']",0,0,0,2,0,0,0,0,0
서광보말칼국수,"['칼국수', '라면', '해물', '보마', '국물']",0,0,0,6,0,0,0,0,0
두툼한고기돈돼지,"['고기', '친절', '사장', '돼지', '김치찌개']",0,0,0,8,0,0,0,0,0
올레삼다정,"['갈치', '구이', '조림', '사장', '친절']",0,0,0,2,0,0,0,1,0
중문그때그집,"['고기', '친절', '사장', '김치찌개', '돼지']",1,0,0,17,0,0,0,0,0
어박사 한림본점,"['갈치', '조림', '전복', '구이', '세트']",0,0,0,24,0,0,0,0,0
임순이네,"['고사리', '육개장', '고기국수', '맛집', '해장국']",0,0,0,2,0,0,0,0,0
칠돈가 제주공항직영점,"['친절', '고기', '돼지', '직원', '제주']",0,0,0,3,0,0,0,0,0
천리식당천리민박,"['갈치', '구이', '조림', '옥돔', '음식']",0,0,0,0,0,0,0,0,0
꽃가람,"['고기국수', '고기', '국물', '비빔국수', '최고']",0,0,0,1,0,0,0,0,0
요기소바 본점,"['소바', '세트', '맛집', '친절', '돈가스']",0,0,0,2,0,0,0,0,0
용담밭담,"['정식', '음식', '제주', '용담', '반찬']",0,0,0,26,0,0,0,0,0
