place,address,Latitude,Longitude,category,k_means_cluster,인기지수,환경,친환경
삼다수숲길,제주특별자치도 제주시 조천읍 교래리 산 70-1,33.4276176,126.6665803,관광지,3,0.1887108567262066,0,0
한라산성판악탐방안내소,제주특별자치도 제주시 조천읍 516로 1865,33.3848518,126.6195473,관광지,2,0.2915053200767487,0,0
알뜨르비행장,제주특별자치도 서귀포시 대정읍 상모리 1670,33.2046641,126.2727667,관광지,0,0.2564800279085993,0,0
상가리야자숲,제주특별자치도 제주시 애월읍 상가리 536,33.4391766,126.3583243,관광지,0,0.0526151225828578,0,0
신창풍차해안,제주특별자치도 제주시 한경면 신창리 1290-2,33.3452325,126.1775914,관광지,0,0.2600235932319245,0,0
수월봉지질트레일,제주특별자치도 제주시 한경면 고산리 3760,33.294755,126.1634484,관광지,0,0.0925518925518925,0,0
돈내코유원지,제주특별자치도 서귀포시 돈내코로 114,33.3003161,126.5847998,관광지,2,0.1829623611691357,0,0
수산봉,제주특별자치도 제주시 애월읍 수산리 산 1-1,33.4737592,126.3846826,관광지,0,0.1172654839853925,0,0
평대리해수욕장,제주특별자치도 제주시 구좌읍 평대리,33.5243749,126.8423829,관광지,1,0.2363536264517054,0,0
머체왓숲길방문객지원센터,제주특별자치도 서귀포시 남원읍 서성로 755,33.3245683,126.6627718,관광지,2,0.2549101691958835,0,0
5.16도로숲터널,제주특별자치도 서귀포시 남원읍 신례리,33.299995,126.6297939,관광지,2,0.2262743232757045,0,0
아끈다랑쉬오름,제주특별자치도 제주시 구좌읍 세화리 2593-2,33.474032,126.8314889,관광지,1,0.2602367371659317,0,0
방림원,제주특별자치도 제주시 한경면 용금로 864,33.3370712,126.2687794,관광지,0,0.1975728716843682,0,0
제주유채꽃도로,제주특별자치도 서귀포시 표선면 가시리,33.3988071,126.7063341,관광지,1,0.2188383045525904,0,0
큰노꼬메오름,제주특별자치도 제주시 애월읍 유수암리 산 138,33.3923111,126.4152399,관광지,0,0.3279525556517743,0,0
황우지선녀탕,제주특별자치도 서귀포시 서홍동,33.2639577,126.5507293,관광지,2,0.1709804072445864,0,0
영주산,제주특별자치도 서귀포시 표선면 성읍리 산 18-1,33.4040171,126.7990445,관광지,1,0.233679691601134,0,0
오늘은카트레이싱,제주특별자치도 서귀포시 표선면 중산간동로 4776,33.3662211,126.7805125,관광지,1,0.1017612556858715,0,0
