place,address,Latitude,Longitude,category
카페미와,제주특별자치도 제주시 구좌읍 구좌로 51-1 2층,33.5231921,126.8571638,카페
다린,제주특별자치도 서귀포시 법환로 11,33.239117,126.5096143,카페
도바나,제주특별자치도 서귀포시 남원읍 태위로 177,33.2755242,126.6665596,카페
도을,제주특별자치도 제주시 조천읍 와흘리 125,33.4735321,126.6571882,카페
60빈스,제주특별자치도 서귀포시 태평로120번길 29-2,33.2415408,126.5367032,카페
꼬스뗀뇨,제주특별자치도 제주시 구좌읍 해맞이해안로 2080,33.5291668,126.8538817,카페
오라디오라,제주특별자치도 서귀포시 안덕면 사계로114번길 54-102 2층,33.2424536,126.3049147,카페
트로피컬하이드어웨이 브런치카페,제주특별자치도 서귀포시 대정읍 형제해안로 284,33.210157,126.2914269,카페
스테이솔티,제주특별자치도 제주시 구좌읍 해맞이해안로 480-1,33.5291668,126.8538817,카페
아라파파 북촌점,제주특별자치도 제주시 조천읍 북촌15길 60,33.5512758,126.6966665,카페
차귀놀,제주특별자치도 제주시 한경면 한경해안로 136 1층,33.3328723,126.1697983,카페
스타벅스 서귀포올레점,제주특별자치도 서귀포시 중정로 69 동명백화점,33.2483213,126.56384,카페
코데인커피로스터스,제주특별자치도 서귀포시 안덕면 사계북로 76,33.2355381,126.2966466,카페
카페빠네띠에,제주특별자치도 제주시 신설로9길 25,33.4943566,126.546782,카페
단정한까페,제주특별자치도 제주시 서광로28길 54 2층,33.4967947,126.5292529,카페
우연히그곳,제주특별자치도 제주시 구좌읍 중산간동로 2250 1층,33.4717055,126.7829178,카페
제주901,제주특별자치도 제주시 1100로 2977-10,33.4525954,126.4861329,카페
비양놀,제주특별자치도 제주시 한림읍 한림해안로 311,33.4257892,126.2673117,카페
엘리사,제주특별자치도 제주시 애월읍 가문동상2길 28 1층,33.4853633,126.3906957,카페
카페루핀,제주특별자치도 서귀포시 대정읍 형제해안로 272 1층,33.210157,126.2914269,카페
스타벅스 제주에듀시티점,제주특별자치도 서귀포시 대정읍 에듀시티로 36,33.279349,126.2763069,카페
간이옥돔역 (휴업중),제주특별자치도 서귀포시 남원읍 남태해안로 484,33.2852399,126.7497344,카페
디뷰,제주특별자치도 제주시 노형7길 9-16,33.4869795,126.4837154,카페
수카사,제주특별자치도 제주시 구좌읍 행원로9길 11,33.5540841,126.8082228,카페
꽃향유,제주특별자치도 제주시 애월읍 고하상로 101,33.4466947,126.3539724,카페
미미슈,제주특별자치도 제주시 애월읍 중산간서로 5534,33.4408533,126.3302239,카페
하늘꽃카페,제주특별자치도 서귀포시 대정읍 송악관광로 317,33.2164826,126.2768451,카페
유스커피,제주특별자치도 제주시 구산로 54,33.48433,126.5407264,카페
거인의정원,제주특별자치도 제주시 대원길 58,33.4718426,126.5353245,카페
제이아일랜드카페,제주특별자치도 서귀포시 성산읍 환해장성로 69 1층,33.4121987,126.9047711,카페
이공팔오,제주특별자치도 제주시 조천읍 선교로 185 (선흘리 2085번지),33.4727191,126.7061921,카페
올디벗구디,제주특별자치도 서귀포시 일주서로 330,33.2529537,126.4735857,카페
카페갤러리,제주특별자치도 제주시 조천읍 남조로 1717-24,33.42215,126.6753634,카페
피플카페,제주특별자치도 제주시 조천읍 신촌북3길 58,33.5379267,126.6138836,카페
카페원웨이,제주특별자치도 제주시 한경면 일주서로 4459-4,33.3414039,126.1898997,카페
걸어가는늑대들 전이수갤러리,제주특별자치도 제주시 조천읍 조함해안로 556,33.5426397,126.6724147,카페
하우스레서피 당근케이크,제주특별자치도 제주시 한림읍 일주서로 5892,33.4437646,126.2955203,카페
애월후식,제주특별자치도 제주시 애월읍 납읍로 21 1층,33.4389732,126.3302631,카페
레이지박스,제주특별자치도 서귀포시 안덕면 산방로 208,33.2364205,126.3129475,카페
효은양갱,제주특별자치도 서귀포시 안덕면 덕수회관로 14,33.2529814,126.3150833,카페
리유니온,제주특별자치도 제주시 신성로13길 32 1층 주차장 왼편,33.4975004,126.5304472,카페
귤당리,"제주특별자치도 제주시 한경면 일주서로 4492 1,2층",33.3414039,126.1898997,카페
너는파라다이스길리,제주특별자치도 제주시 구좌읍 월정1길 65,33.5566513,126.7937413,카페
그루브,제주특별자치도 제주시 한림읍 한림로 333 1~3층,33.3937225,126.240025,카페
몽그레 월정리점,제주특별자치도 제주시 구좌읍 해맞이해안로 400,33.5291668,126.8538817,카페
감저,제주특별자치도 서귀포시 대정읍 대한로 22,33.2296929,126.2452997,카페
메이비,제주특별자치도 서귀포시 이중섭로 34,33.2449997,126.5643448,카페
카페 제주동네,제주특별자치도 제주시 구좌읍 종달로5길 23,33.4931436,126.8989816,카페
헬로남생이,제주특별자치도 제주시 조천읍 원당북로 197-20 1층,33.5322844,126.6111251,카페
탐앤탐스 신제주점,제주특별자치도 제주시 신광로 52 1층,33.4874051,126.4896979,카페
밀팟제주,제주특별자치도 제주시 원남6길 58 1층,33.4854856,126.5298145,카페
브릭스제주,제주특별자치도 제주시 구좌읍 김녕로2길 6 1층,33.5546239,126.7430191,카페
카페소금,제주특별자치도 제주시 애월읍 구엄길 96,33.4825056,126.3761037,카페
