place,address
유스커피,제주특별자치도 제주시 구산로 54
거인의정원,제주특별자치도 제주시 대원길 58
제이아일랜드카페,제주특별자치도 서귀포시 성산읍 환해장성로 69 1층
이공팔오,제주특별자치도 제주시 조천읍 선교로 185 (선흘리 2085번지)
올디벗구디,제주특별자치도 서귀포시 일주서로 330
카페갤러리,제주특별자치도 제주시 조천읍 남조로 1717-24
피플카페,제주특별자치도 제주시 조천읍 신촌북3길 58
카페원웨이,제주특별자치도 제주시 한경면 일주서로 4459-4
걸어가는늑대들 전이수갤러리,제주특별자치도 제주시 조천읍 조함해안로 556
하우스레서피 당근케이크,제주특별자치도 제주시 한림읍 일주서로 5892
애월후식,제주특별자치도 제주시 애월읍 납읍로 21 1층
레이지박스,제주특별자치도 서귀포시 안덕면 산방로 208
효은양갱,제주특별자치도 서귀포시 안덕면 덕수회관로 14
리유니온,제주특별자치도 제주시 신성로13길 32 1층 주차장 왼편
귤당리,"제주특별자치도 제주시 한경면 일주서로 4492 1,2층"
너는파라다이스길리,제주특별자치도 제주시 구좌읍 월정1길 65
그루브,제주특별자치도 제주시 한림읍 한림로 333 1~3층
몽그레 월정리점,제주특별자치도 제주시 구좌읍 해맞이해안로 400
감저,제주특별자치도 서귀포시 대정읍 대한로 22
메이비,제주특별자치도 서귀포시 이중섭로 34
카페 제주동네,제주특별자치도 제주시 구좌읍 종달로5길 23
헬로남생이,제주특별자치도 제주시 조천읍 원당북로 197-20 1층
탐앤탐스 신제주점,제주특별자치도 제주시 신광로 52 1층
밀팟제주,제주특별자치도 제주시 원남6길 58 1층
브릭스제주,제주특별자치도 제주시 구좌읍 김녕로2길 6 1층
카페소금,제주특별자치도 제주시 애월읍 구엄길 96
카페갤럭시아,제주특별자치도 서귀포시 안덕면 사계남로216번길 29 카페갤럭시아
제주 함덕 카페 라라떼커피,제주특별자치도 제주시 조천읍 신북로 494 1층
꼬라지오,제주특별자치도 서귀포시 일주동로 8777
인터포레스트,"제주특별자치도 제주시 구좌읍 비자림로 1655 인터포레스트빌딩 1,2층"
미리로,제주특별자치도 제주시 테우해안로 136 2층
컴컴제주,"제주특별자치도 제주시 한림읍 한림로 470 1,2층"
네꼬야티하우스,제주특별자치도 제주시 애월읍 하귀9길 15 1층
스타벅스 신제주이마트점,제주특별자치도 제주시 1100로 3348 이마트신제주점 1층
카페파람,제주특별자치도 제주시 한경면 한경해안로 470
공생,제주특별자치도 제주시 천수동로2길 23
카페마니,제주특별자치도 제주시 구좌읍 해맞이해안로 1112
카페뚜이,제주특별자치도 제주시 한림읍 협재1길 45 1층
카페팀블로우,제주특별자치도 제주시 애월읍 애월로 19-3 나동 1층
히아담,제주특별자치도 제주시 과원로 28 1층
트라이브 신창점,"제주특별자치도 제주시 한경면 한경해안로 474-22 1, 2층"
