,카페명,별점,별점갯수,insta,Naver_review,Naver_rate
117,스타벅스제주칠성점,3.9,38,172,"['방문자리뷰 3,579', '블로그리뷰 237']",4.48
118,스타벅스제주송악산점,3.5,36,306,"['방문자리뷰 3,605', '블로그리뷰 426']",4.41
119,신산리마을카페,4.3,49,"2,668","['방문자리뷰 378', '블로그리뷰 239', '아메리카노', '카페라떼', '초코라떼', '아포카토']",4.44
120,미엘드세화,4.4,64,"11,010","['방문자리뷰 442', '블로그리뷰 450', '미엘커피', '당근케이크', '생크림케이크']",4.56
121,동박낭,3.9,41,"5,866","['방문자리뷰 180', '블로그리뷰 309', '입장료']",4.08
122,윈드스톤,4.2,37,"11,807","['방문자리뷰 204', '블로그리뷰 488', '메뉴판 전체보기']",4.63
123,73st,4.0,31,"4,690","['방문자리뷰 416', '블로그리뷰 364']",4.36
124,풍미독서,3.5,52,"8,253","['방문자리뷰 639', '블로그리뷰 672', '풍미 하우스 샐러드', '와일드 통새우 버거']",4.43
125,선흘,4.3,30,"9,896",a,0.0
126,스타벅스제주시청점,3.8,32,369,"['방문자리뷰 2,764', '블로그리뷰 220']",4.47
127,카페유주,4.2,97,"8,099","['방문자리뷰 406', '블로그리뷰 418', '오키나와흑당라떼', '사과홍차', '아메리카노', '스다치소다']",4.62
128,달자카페,4.6,38,"3,233","['방문자리뷰 394', '블로그리뷰 246', '카페라떼', '둥둥라떼', '아메리카노']",4.41
129,그레이그로브,4.9,29,"3,831","['방문자리뷰 262', '블로그리뷰 279', '아메리카노', '카페라떼', '바닐라라떼', '시그니쳐 블랙']",4.63
130,바다위에코끼리,4.4,36,"9,652","['방문자리뷰 237', '블로그리뷰 350']",4.6
131,바라나시책골목,4.7,50,"1,947","['방문자리뷰 87', '블로그리뷰 191']",4.85
132,누옥,4.3,47,"2,534","['방문자리뷰 301', '블로그리뷰 179', '메뉴판 전체보기']",4.57
133,동명정류장,5.0,47,"6,790","['방문자리뷰 449', '블로그리뷰 404', '밭담라떼', '아메리카노']",4.85
134,알마커피제작소,4.8,84,"2,440","['방문자리뷰 326', '블로그리뷰 153']",4.54
135,노바운더리제주,3.5,15,772,"['방문자리뷰 327', '블로그리뷰 136']",0.0
136,간세라운지,4.5,2,745,"['방문자리뷰 158', '블로그리뷰 90']",4.5
137,모앙,4.2,42,"6,774","['방문자리뷰 298', '블로그리뷰 151', '아메리카노', '카페라떼', '아인슈페너', '아썸라떼']",4.52
138,회춘애월점,3.9,37,"1,825","['방문자리뷰 169', '블로그리뷰 327']",0.0
139,서귀피안베이커리,4.0,64,"2,848","['방문자리뷰 5,402', '블로그리뷰 582']",0.0
140,디피159,4.2,12,"2,913","['방문자리뷰 619', '블로그리뷰 395']",4.65
141,스타벅스제주외도DT점,4.0,44,0,"['방문자리뷰 2,697', '블로그리뷰 214']",4.45
142,사일리커피,4.7,120,"2,530","['방문자리뷰 665', '블로그리뷰 351']",4.67
143,에이바우트커피한라대점,3.5,24,19,"['방문자리뷰 851', '블로그리뷰 111', '아메리카노', '카페라떼', '카푸치노', '바닐라 라떼']",4.3
144,카카듀,3.8,43,"6,586","['방문자리뷰 465', '블로그리뷰 277']",4.36
145,이에르바,4.0,21,"6,770","['방문자리뷰 260', '블로그리뷰 304', '엄마봄쑥전', '엄마손도넛', '애플티', '아메리카노']",4.6
146,무로이,3.9,31,"6,137","['방문자리뷰 2,027', '블로그리뷰 640', '아메리카노', '에스프레소', '플랫화이트', '카푸치노']",4.52
147,조아찌커피,4.0,23,322,"['방문자리뷰 247', '블로그리뷰 193', '메뉴판 전체보기']",4.48
148,커피99.9,4.0,43,0,"['방문자리뷰 78', '블로그리뷰 445', '꿀몽', '아메리카노', '아메리카노(디카페인)', '카페라떼']",4.57
149,롱플레이제주,4.6,13,314,"['방문자리뷰 130', '블로그리뷰 101', '메뉴판 전체보기']",0.0
150,너와의첫여행,4.2,25,0,"['방문자리뷰 868', '블로그리뷰 508']",4.59
151,인카페온더비치,4.3,49,"3,151","['방문자리뷰 608', '블로그리뷰 481', '아메리카노', '카페라떼', '아이스 아메리카노', '아이스 카페라떼']",4.47
152,바람벽에흰당나귀,3.8,61,"6,517","['방문자리뷰 454', '블로그리뷰 560', '에스프레소', '아메리카노', '카페라떼', '피콜로라떼']",4.36
153,델문도로스터스,4.1,22,757,"['방문자리뷰 520', '블로그리뷰 105', '에스프레소', '아메리카노', '카페라떼']",4.41
154,카페희상,4.2,43,"12,642","['방문자리뷰 123', '블로그리뷰 148']",0.0
155,순아,4.9,43,527,a,0.0
156,속솜,4.5,79,"1,250","['방문자리뷰 224', '블로그리뷰 304', '아메리카노', '수플레 팬케이크']",4.58
157,카페주비,4.7,41,933,"['방문자리뷰 1,105', '블로그리뷰 967', '제주보리샌드', '그릭요거트']",4.72
158,그러므로,4.4,21,"15,645",a,0.0
159,인디고인디드,4.5,63,"1,309","['방문자리뷰 238', '블로그리뷰 359', '메뉴판 전체보기']",4.56
160,우호적무관심,4.0,39,"4,756","['방문자리뷰 520', '블로그리뷰 360', '아메리카노']",4.48
161,하라케케,4.4,22,"7,220","['방문자리뷰 672', '블로그리뷰 319', '말차라떼', '블루베리스무디']",0.0
162,카페바르941,4.9,34,482,"['방문자리뷰 298', '블로그리뷰 544']",4.8
163,플레이스엉물,4.2,76,"5,188","['방문자리뷰 586', '블로그리뷰 440']",4.63
164,씨리얼,4.0,40,"90,232",a,0.0
165,오버더윈도우,4.3,56,"3,973","['방문자리뷰 122', '블로그리뷰 214']",4.55
166,다랑쉬,4.2,29,"3,973",a,0.0
167,커피주의보,4.6,28,"3,049","['방문자리뷰 241', '블로그리뷰 135']",4.5
168,너븐,4.2,38,"4,997","['방문자리뷰 677', '블로그리뷰 742', '아메리카노']",4.55
169,바램,3.9,28,"81,154",a,0.0
170,말리가,4.5,21,"2,135","['방문자리뷰 132', '블로그리뷰 560', '밀크티', '홍차빙수', '누와라엘리야', '우바']",4.76
171,시인의집,4.5,35,"4,601","['방문자리뷰 186', '블로그리뷰 211', '메뉴판 전체보기']",4.56
172,숑,4.6,60,"10,390","['방문자리뷰 120', '블로그리뷰 312', '카페라떼', '초코초코', '숑플']",4.62
173,카페닐스,4.8,36,"3,996","['방문자리뷰 128', '블로그리뷰 228', '핸드드립 스페셜', '카페라떼', '카푸치노', 'TEA']",4.67
174,카페유디에이,4.5,36,320,"['방문자리뷰 1,038', '블로그리뷰 395']",4.67
175,과수원피스,4.8,77,"4,388","['방문자리뷰 214', '블로그리뷰 224', '스위트4장성', '감귤템포', '청귤템포', '소울킹아메리카노']",4.87
176,먹쿠슬낭여행자카페,4.3,20,954,"['방문자리뷰 1,697', '블로그리뷰 346', '메뉴판 전체보기']",4.74
177,귤꽃다락,4.5,68,"10,105","['방문자리뷰 1,087', '블로그리뷰 860', '메뉴판 전체보기']",4.66
178,스타벅스제주신화월드R점,3.9,23,0,"['방문자리뷰 3,378', '블로그리뷰 314']",4.45
179,까미노,4.4,66,"58,230",a,0.0
180,스타벅스제주노형공원점,3.8,11,43,"['방문자리뷰 2,279', '블로그리뷰 80']",4.47
181,카페세바,4.1,29,"19,573","['방문자리뷰 85', '블로그리뷰 591', '아메리카노', '카페라떼', '카페모카', '핫초코']",4.49
182,하소로커피,4.7,41,"3,511","['방문자리뷰 284', '블로그리뷰 229']",4.58
183,동백정원,4.8,40,"4,451",a,0.0
184,카페더라이트,4.4,44,"10,234","['방문자리뷰 1,016', '블로그리뷰 357']",4.53
