,카페명,별점,별점갯수,insta,Naver_review,Naver_rate
133,산지물신제주점,3.8,123,48,"['방문자리뷰 424', '블로그리뷰 473', '산지물A코스3~4인(활어회,해물모듬(대),물회,고등어구이,자리구이,전복구이,우럭조림,매운탕,공기밥,튀김등)', '산지물B코스2인(활어회,해물모듬(소),물회,고등어구이,자리구이,전복구이,우럭조림,매운탕,공기밥,튀김등)', '방어코스(방어회,물회,구이,조림,튀김,매운탕)', '대게스페샬코스4인(전복죽,해물+회,콘치즈,대게,랍스타,소라구이,전복구이,튀김,탕,공기밥)']",4.11
134,코코분식,3.8,50,"2,581","['방문자리뷰 461', '블로그리뷰 452', '비빔밥', '칼국수', '육개장', '콩국수']",4.32
135,코코마마성산점,3.9,173,"1,411","['방문자리뷰 3,139', '블로그리뷰 1,885', '통 파인애플쥬스', '파인애플볶음밥', '점보씨푸드 기본2인', '점보씨푸드 기본4인']",4.53
136,가람돌솥밥,3.6,161,"10,311","['방문자리뷰 4,166', '블로그리뷰 1,238']",4.45
137,성산일출봉청운식당,4.6,676,"8,915","['방문자리뷰 968', '블로그리뷰 1,320']",0.0
138,제주미담,3.8,99,"1,662","['방문자리뷰 780', '블로그리뷰 535', '고기국수', '멸치국수', '순대국밥', '따로국밥']",4.3
139,큰돈가본점,4.1,91,704,"['방문자리뷰 750', '블로그리뷰 673', '메뉴판 전체보기']",4.61
140,재연식당,3.7,93,"4,450","['방문자리뷰 841', '블로그리뷰 475', '엄마정식', '갈치정식', '옥돔정식', '김치찌개']",4.5
141,문치비,4.1,59,"5,227","['방문자리뷰 2,484', '블로그리뷰 691', '제주산 흑돼지 오겹살 300g', '제주산 흑돼지 목살 300g', '통갈매기살', '통항정살']",4.63
142,나원회포차,4.6,84,980,"['방문자리뷰 2,135', '블로그리뷰 619']",4.82
143,오가네전복설렁탕서귀포본점,4.7,319,0,a,0.0
144,시흥해녀의집,4.5,182,"1,341","['방문자리뷰 473', '블로그리뷰 496', '조개죽', '전복죽', '오분작죽', '문어 1접시']",4.38
145,도갈비,4.6,87,"1,260","['방문자리뷰 487', '블로그리뷰 335', '꽃멸젓볶음밥', '흑도목(흑돼지목살)', '흑돼지 오겹살', '흑돼지특수부위']",4.73
146,포도원흑돼지,4.1,76,"3,148","['방문자리뷰 496', '블로그리뷰 600', '흑돼지모듬 대 (720g)', '흑오겹 (180g)', '흑돼지모듬 중 (540g)', '흑목살 (180g)']",4.36
147,낭쿰낭쿰,4.6,145,"1,022",a,0.0
148,홍성방,4.3,123,"9,612","['방문자리뷰 1,211', '블로그리뷰 854']",4.5
149,낭뜰에쉼팡,3.9,86,"3,563","['방문자리뷰 1,404', '블로그리뷰 877', '쌈채', '낭뜰에정식 1인 (2인이상)', '고기비빔밥', '돌솥비빔밥']",4.4
150,돈사돈별관,3.7,81,675,"['방문자리뷰 907', '블로그리뷰 1,415', '메뉴판 전체보기']",4.44
151,잇칸시타,4.3,83,"6,306","['방문자리뷰 898', '블로그리뷰 508']",4.53
152,형제도식당본점,4.4,88,26,"['방문자리뷰 1,566', '블로그리뷰 4,353']",4.66
153,논짓물,3.7,33,"14,057",a,0.0
154,정직한돈협재직영점,4.6,176,13,"['방문자리뷰 1,526', '블로그리뷰 1,293', '메뉴판 전체보기']",4.76
155,남양수산,4.0,69,"3,542","['방문자리뷰 516', '블로그리뷰 296', '활고등어', '참돔 소', '참돔 중', '참돔 대']",4.64
156,칠돈가서광직영점,4.2,74,297,"['방문자리뷰 426', '블로그리뷰 237', '흑도야지 근고기(2인분)', '백도야지 근고기(2인분)', '흑돼지 김치찌개', '점심특선1(흑돼지)']",4.31
157,램앤블랙(구.램하우스),4.8,440,0,a,0.0
158,서서방숯불닭갈비,4.2,89,"3,328",a,0.0
159,태하횟집,4.7,68,"1,841","['방문자리뷰 240', '블로그리뷰 601', '모둠회(2인)', '모둠회(3인)', '모둠회(4인)', '다금바리']",4.38
160,노조미,4.3,88,"7,121","['방문자리뷰 487', '블로그리뷰 3']",4.44
161,제주예찬,3.6,89,"3,145","['방문자리뷰 1,239', '블로그리뷰 823']",4.53
162,표선우동가게,4.2,62,915,"['방문자리뷰 582', '블로그리뷰 289']",4.49
163,선흘곶,4.1,117,"4,301","['방문자리뷰 935', '블로그리뷰 629', '쌈밥정식', '돼지고기 추가', '고등어 추가']",4.49
164,돌집식당,4.3,78,"2,601","['방문자리뷰 577', '블로그리뷰 711']",4.52
165,제주돗,4.1,64,"10,616","['방문자리뷰 569', '블로그리뷰 396', '흑돗목살(200g)', '흑돗오겹살(200g)', '삼겹갈비(200g)']",4.57
166,민경이네어등포해녀촌,3.8,69,"3,290","['방문자리뷰 993', '블로그리뷰 731', '메뉴판 전체보기']",0.0
167,탐라우돈정육식당,4.6,334,296,"['방문자리뷰 589', '블로그리뷰 500']",4.75
168,중문흑돼지천국,4.7,250,286,"['방문자리뷰 1,548', '블로그리뷰 886']",4.81
169,솔동산고기국수,4.0,105,"1,201","['방문자리뷰 718', '블로그리뷰 420']",4.4
170,김지순의낭푼밥상,3.9,53,888,"['방문자리뷰 268', '블로그리뷰 238', '메뉴판 전체보기']",4.29
171,금박돈,4.1,151,"1,795","['방문자리뷰 653', '블로그리뷰 406', '2인흑돼지(근고기 600g)', '흑돼지(근고기800g)', '흑돼지(근고기1200g)', '흑돼지(근고기400g)추가시']",4.43
172,뚱보아저씨,4.0,188,"2,637","['방문자리뷰 1,460', '블로그리뷰 412', '갈치구이 정식', '육개장', '통삼겹 김치전골 (2人이상)', '갈치조림 중']",4.47
173,도두반점제주사수본점,3.7,67,12,"['방문자리뷰 1,155', '블로그리뷰 370', '메뉴판 전체보기']",4.33
174,형돈,3.7,57,"2,618","['방문자리뷰 559', '블로그리뷰 417', '흑돼지 근고기 (600g)', '흑돼지 추가 (300g)', '백돼지 근고기 (600g)', '백돼지 추가 (300g)']",4.49
175,연미정,4.3,128,"11,849","['방문자리뷰 659', '블로그리뷰 396']",4.46
176,제주김만복성산점,3.7,85,235,"['방문자리뷰 327', '블로그리뷰 566', '메뉴판 전체보기']",4.52
177,덕승식당,3.6,71,"4,523","['방문자리뷰 688', '블로그리뷰 269', '한치물회', '자리물회', '회덮밥', '갈치구이']",4.32
178,백리향,4.0,96,"15,013",a,0.0
179,한라전복(본점),4.0,108,0,a,0.0
180,제갈양,4.5,366,"5,091","['방문자리뷰 1,521', '블로그리뷰 1,485', '2인조림', '2인구이', '갈치뚝배기', '생선초밥']",4.56
181,연북로해물탕,4.1,44,"1,433","['방문자리뷰 453', '블로그리뷰 533', '해물탕 대', '한상차림 2인상', '전복성게미역국', '전복뚝배기']",4.48
182,짱구분식,4.0,117,"8,221",a,0.0
183,만선식당,4.0,101,"11,777","['방문자리뷰 1,138', '블로그리뷰 1,290']",4.41
184,인디언키친,4.0,127,"2,516","['방문자리뷰 949', '블로그리뷰 480']",4.52
185,산방산초가집,4.4,68,"2,583","['방문자리뷰 749', '블로그리뷰 901']",4.6
186,문개항아리애월점,4.5,256,567,"['방문자리뷰 6,820', '블로그리뷰 405', '메뉴판 전체보기']",4.82
187,숙성도중문점,3.7,181,"3,077","['방문자리뷰 3,457', '블로그리뷰 1,593']",4.44
188,해심가든,3.9,82,"4,603","['방문자리뷰 739', '블로그리뷰 437', '돼지생갈비(300g)', '돼지양념갈비(300g)', '흑돼지오겹살(200g)', '성게미역국(공기밥포함)']",0.0
189,모이세해장국본점,3.6,36,216,a,0.0
190,곤밥2,4.6,121,"1,506","['방문자리뷰 1,447', '블로그리뷰 432', '정식', '두루치기', '갈비탕', '육개장']",4.59
191,임금님밥상,3.7,41,"2,904","['방문자리뷰 680', '블로그리뷰 429', '생선구이백반', '갈치조림', '뚝배기불고기', '참조기찌개']",4.27
192,춘미향식당,4.3,147,"2,071","['방문자리뷰 743', '블로그리뷰 540', '춘미향 정식', '보말미역국 정식', '몸국', '흑돼지 두루치기']",4.47
193,제주고집,3.9,52,"2,858","['방문자리뷰 2,075', '블로그리뷰 1,849', '숙성흑돼지근고기600', '숙성흑돼지점심특선2인', '숙성흑돼지400g', '제주통가브리살200g']",4.71
194,제주올래국수,4.2,43,"1,976","['방문자리뷰 272', '블로그리뷰 117']",4.41
195,스시도모다찌제주점,3.9,90,12,"['방문자리뷰 851', '블로그리뷰 345']",4.43
196,옥돔식당,3.5,62,"5,681","['방문자리뷰 1,221', '블로그리뷰 986', '보말전복손칼국수']",4.38
197,돈향기,3.9,63,"5,113","['방문자리뷰 1,515', '블로그리뷰 1,464']",4.61
198,제주곰집,4.6,226,"16,599","['방문자리뷰 2,448', '블로그리뷰 3,399']",4.54
199,칠돈가표선직영점,3.6,51,154,"['방문자리뷰 1,167', '블로그리뷰 1,113', '흑도야지 근고기 600g', '백도야지 근고기 600g', '김치찌개', '김치전 추가시']",0.0
200,순풍해장국함덕본점,3.6,57,0,a,0.0
201,옹포바다횟집,4.2,66,"3,468","['방문자리뷰 423', '블로그리뷰 449', '옹포바다 모듬회 中', '옹포바다 모듬회 大', '다금바리 1kg', '갓돔 1kg']",4.53
202,범일분식,4.1,83,"3,387","['방문자리뷰 590', '블로그리뷰 598', '제주 쌀 막걸리', '순대 한접시', '순대백반']",4.36
203,제주곱,4.6,25,"3,861","['방문자리뷰 311', '블로그리뷰 168']",4.52
204,커큐민흑돼지,3.6,37,"5,843","['방문자리뷰 983', '블로그리뷰 1,187']",4.45
205,글라글라하와이,4.1,87,"6,978","['방문자리뷰 776', '블로그리뷰 442']",4.54
206,짬뽕에취한날,3.5,64,"4,907","['방문자리뷰 687', '블로그리뷰 577']",4.37
207,이스트포레스트,4.2,111,"5,760","['방문자리뷰 1,400', '블로그리뷰 612']",4.5
208,더스푼,3.7,42,"6,569","['방문자리뷰 1,026', '블로그리뷰 428']",4.65
209,김녕오라이,4.5,70,"8,113","['방문자리뷰 582', '블로그리뷰 236', '돔베사시미 대', '돔베사시미 중', '돔베사시미 소', '머리구이 반판/한판']",4.73
210,흑돼지패밀리,4.6,57,808,"['방문자리뷰 381', '블로그리뷰 997']",4.55
211,센트로,4.5,71,"5,866","['방문자리뷰 394', '블로그리뷰 353', '콜키지1병당1만원', '소주/맥주', '와인']",4.68
212,제주해물밥,3.5,35,"5,671","['방문자리뷰 354', '블로그리뷰 530']",4.31
213,성산갈치조림순덕이네,4.0,46,10,"['방문자리뷰 502', '블로그리뷰 683']",0.0
214,섭지코지해녀밥상,4.3,29,621,"['방문자리뷰 225', '블로그리뷰 194', '1인', '전복구이(5마리)', '소라.문어,멍게.해삼.성게(1접시)', '공기밥']",4.42
215,강식당,4.0,102,"50,268","['방문자리뷰 416', '블로그리뷰 371', '함박스테이크 정식', '매운 고기국수', '순한 고기국수']",0.0
216,뚱딴지,4.1,99,"6,326",a,0.0
217,알동네집,3.6,36,"2,374","['방문자리뷰 671', '블로그리뷰 730', '짜투리고기', '흑돼지오겹', '돌솥밥+김치찌개', '돌솥밥+된장찌개']",4.52
218,중문색달통갈치,4.4,123,"1,299","['방문자리뷰 2,194', '블로그리뷰 1,059']",4.84
219,윤옥,4.3,129,"9,698","['방문자리뷰 645', '블로그리뷰 362']",4.57
220,돈고팡본점,3.8,55,692,"['방문자리뷰 626', '블로그리뷰 1,027', '메뉴판 전체보기']",4.51
221,돈카츠서황,3.8,116,"1,378","['방문자리뷰 427', '블로그리뷰 160', '서황카츠', '안심카츠', '생선카즈', '모듬카츠']",4.45
222,삼성혈해물탕1호점,4.2,21,32,"['방문자리뷰 276', '블로그리뷰 230', '해물탕 (특대)', '해물탕(대)', '해물탕(중)', '해물탕(소)']",4.43
223,한라전복성산본점,4.4,93,4,"['방문자리뷰 514', '블로그리뷰 358', '전복돌솥밥', '전복뚝배기', '전복구이 대', '전복죽']",4.63
