,카페명,별점,별점갯수,insta,Naver_review,Naver_rate
116,휴스테이금호,5.0,16,15,"['방문자리뷰 90', '블로그리뷰 16', '네이버예약', '웹사이트']",4.8
117,몽듀호텔,4.0,10,832,"['방문자리뷰 225', '블로그리뷰 145', '네이버예약']",4.76
118,르메인호텔서귀포,4.7,39,9,"['방문자리뷰 123', '블로그리뷰 118', '네이버예약']",4.38
119,오션블루호텔,3.8,9,28,"['방문자리뷰 6', '블로그리뷰 4']",0.0
120,퓨어스테이,4.0,3,0,"['방문자리뷰 20', '블로그리뷰 17', '네이버예약']",3.72
121,호텔MCC,3.5,35,0,"['방문자리뷰 18', '블로그리뷰 54']",4.15
122,호텔스테이인터뷰제주,3.7,6,0,"['방문자리뷰 55', '블로그리뷰 55', '네이버예약']",4.47
123,에이원호텔,4.8,6,339,"['방문자리뷰 19', '블로그리뷰 5']",3.25
124,제주푸른호텔,4.6,11,21,"['방문자리뷰 28', '블로그리뷰 25', '제주푸른호텔 홈페이지', '네이버예약', '페이스북', '인스타그램', '카페']",0.0
125,호텔메이저2,4.0,8,2,"['방문자리뷰 54', '블로그리뷰 14']",4.3
126,엘렌호텔,5.0,3,32,"['방문자리뷰 42', '블로그리뷰 40']",4
127,하니크라운호텔,4.0,3,137,"['방문자리뷰 21', '블로그리뷰 45']",4.33
128,호텔펄리,4.2,9,0,"['방문자리뷰 68', '블로그리뷰 44']",4.1
129,스탠포드호텔앤리조트제주,5.0,2,31,"['방문자리뷰 17', '블로그리뷰 34']",0.0
130,스와브호텔,4.0,7,344,"['방문자리뷰 20', '블로그리뷰 39']",4.7
131,호텔W신제주점,5.0,1,0,a,0.0
132,드림제주호텔,4.0,4,4,"['방문자리뷰 46', '블로그리뷰 4', '네이버예약']",4.25
133,오로라호텔,5.0,3,198,"['방문자리뷰 124', '블로그리뷰 128', '네이버예약', '인스타그램']",4.76
134,코너스톤호텔,4.3,9,48,"['방문자리뷰 71', '블로그리뷰 64', '네이버예약']",0.0
135,모슬포호텔3동,3.9,21,0,a,0.0
136,헤르츠호텔,3.5,8,39,"['방문자리뷰 67', '블로그리뷰 5', '호텔가 예약']",4.31
137,레브호텔,3.6,5,20,"['방문자리뷰 20', '블로그리뷰 2']",4.31
138,호텔하루시다,5.0,1,94,"['방문자리뷰 5', '블로그리뷰 9', '웹사이트', '인스타그램']",0.0
139,오렌지호텔,5.0,6,241,"['방문자리뷰 13', '블로그리뷰 1']",0.0
140,제주골프호텔,4.0,1,11,"['방문자리뷰 4', '블로그리뷰 6', '트립어드바이저']",0.0
141,그랜드조선힐스위트,5.0,7,"1,256",a,0.0
142,메이저호텔,3.7,3,23,"['방문자리뷰 20', '블로그리뷰 12']",4.41
143,호텔버지니아,4.7,11,0,"['방문자리뷰 9', '블로그리뷰 17']",0.0
144,모멘토호텔,5.0,1,45,"['방문자리뷰 9', '블로그리뷰 13', '인스타그램']",0.0
145,아이존호텔,5.0,1,0,"['방문자리뷰 19', '블로그리뷰 3']",4.55
146,호텔홀라인제주협재점,5.0,3,0,"['방문자리뷰 308', '블로그리뷰 41', '블로그', '인스타그램']",4.85
147,더퍼스트호텔,3.5,2,19,a,0.0
148,씨앤하우스,5.0,2,252,"['블로그리뷰 31', '블로그']",0.0
149,탐라지오호텔,4.0,3,0,"['방문자리뷰 15', '블로그리뷰 16', '모두']",0.0
150,샤이니호텔,4.0,4,163,"['방문자리뷰 1', '블로그리뷰 1']",0.0
151,엔파제주호텔,5.0,2,203,"['방문자리뷰 15', '블로그리뷰 4']",4.67
152,i마이다스레지던스호텔,5.0,5,0,"['방문자리뷰 1', '블로그리뷰 5']",0.0
153,호텔캘리포니아,5.0,3,"1,594",a,0.0
154,제주TheMHotel,3.7,3,0,"['방문자리뷰 28', '블로그리뷰 6']",4.63
155,탑동호텔,4.0,1,290,"['방문자리뷰 13', '블로그리뷰 1']",4.38
156,예그린하우스,4.2,11,41,a,0.0
157,뉴크라운호텔,5.0,1,12,['방문자리뷰 1'],0.0
158,제주코아호텔,5.0,1,0,"['방문자리뷰 2', '블로그리뷰 2']",0.0
159,에메랄드호텔,5.0,1,33,a,0.0
160,파크비치호텔,5.0,1,17,['블로그리뷰 7'],0.0
161,제주필링굿하우스,5.0,2,0,a,0.0
162,EQSTAY,3.7,3,0,"['방문자리뷰 318', '블로그리뷰 53', '웹사이트', '네이버예약', '인스타그램', '웹사이트']",4.6
163,바솔트호텔,5.0,2,0,a,0.0
164,위너스호텔,4.0,2,376,"['방문자리뷰 222', '블로그리뷰 153', '웹사이트', '네이버예약']",4.36
165,은하호텔,5.0,1,6,['블로그리뷰 13'],0.0
166,라이프리버호텔,5.0,1,0,a,0.0
167,산방산호텔,4.0,14,604,"['방문자리뷰 128', '블로그리뷰 101', '네이버예약']",0.0
168,호텔케니모슬포,3.7,29,276,"['방문자리뷰 185', '블로그리뷰 118', '네이버예약', '웹사이트', '웹사이트', '인스타그램']",4.47
169,제주인관광호텔,5.0,1,0,"['방문자리뷰 489', '블로그리뷰 222', '인스타그램']",4.32
